,選手ID,スターティングフラグ,プレイタイム,得点,3P成功,3P試投,2P成功,2P試投,ダンク,フリースロー成功,フリースロー試投,ファウル,被ファウル,オフェンスリバウンド,ディフェンスリバウンド,トータルリバウンド,ターンオーバ,アシスト,スティール,ブロックショット,被ブロックショット,ファストブレイクポイント,ポイントフロムターンオーバー,2Pインサイドポイント,セカンドチャンスポイント,6man,period
234,8721,176,112584,860,101,323,190,413,0,177,224,125,266,38,168,206,116,202,61,11,29,23,41,234,48,0,238
235,8722,112,70048,350,36,138,97,201,0,48,66,82,102,27,76,103,86,119,36,8,16,41,49,162,26,0,184
236,8723,64,34058,128,2,6,46,130,1,30,51,77,41,49,102,151,29,17,19,26,15,2,4,74,25,0,89
237,8724,143,80780,385,55,202,80,247,0,60,87,130,111,55,108,163,80,56,46,7,32,23,51,98,26,0,229
238,8725,14,9052,37,6,20,6,20,0,7,8,39,11,3,9,12,9,1,4,0,4,0,0,12,4,0,60
239,8726,151,92378,492,6,25,192,397,6,90,126,78,106,140,265,405,60,41,27,40,22,40,38,252,91,0,221
240,8727,135,82406,467,45,110,139,321,0,54,72,144,95,40,105,145,67,117,62,14,21,16,32,220,48,0,220
241,8728,12,6896,26,7,15,1,2,0,3,4,14,8,1,8,9,9,2,3,1,0,3,3,2,0,0,43
242,8729,158,101601,625,119,343,67,195,0,134,154,136,168,21,88,109,101,84,28,1,22,35,38,84,50,0,238
243,8730,59,38160,141,27,96,25,60,0,10,14,62,25,11,51,62,26,44,11,3,3,6,14,22,13,0,134
244,8731,144,79647,611,88,232,128,321,0,91,107,97,130,19,87,106,100,93,39,2,20,34,80,158,50,0,176
245,8732,97,60451,425,45,162,110,251,0,70,87,63,65,25,61,86,70,75,42,2,11,31,52,124,34,0,149
246,8733,44,32678,129,11,44,29,69,0,38,52,66,49,11,48,59,45,33,19,4,13,6,13,48,14,0,147
247,8734,122,61684,264,39,104,54,135,1,39,59,98,65,19,84,103,65,73,34,8,17,9,37,90,18,0,167
248,8735,71,43626,154,36,99,19,54,0,8,12,30,22,8,31,39,39,43,12,1,6,8,16,20,14,0,166
249,8736,88,37562,134,21,54,30,91,0,11,16,87,31,22,46,68,33,60,33,2,7,15,25,30,2,0,185
250,8737,138,79612,291,22,82,73,137,0,79,93,114,98,51,111,162,44,38,64,20,11,42,49,116,30,0,211
251,8738,149,95509,616,72,232,137,313,1,126,157,146,159,70,169,239,95,71,33,42,25,23,60,218,54,0,237
252,8739,92,44079,158,36,106,20,53,0,10,17,43,33,20,57,77,25,19,17,9,9,9,5,26,12,0,176
253,8740,31,22242,80,10,41,17,41,0,16,25,65,27,17,29,46,27,50,29,0,4,7,7,34,2,0,96
254,8741,14,18959,76,9,26,16,35,0,17,28,53,19,9,14,23,15,12,6,3,5,6,4,24,0,0,88
255,8742,148,73017,300,19,64,94,197,0,55,87,145,82,55,152,207,42,74,41,18,24,36,39,180,10,0,208
256,8743,37,33785,116,25,77,17,31,0,7,7,43,10,20,45,65,22,37,38,3,4,21,21,34,4,0,103
257,8744,129,65759,245,30,110,46,98,0,63,85,108,117,10,87,97,66,105,25,4,8,24,27,76,9,0,174
258,8755,151,90586,589,84,235,117,278,0,103,126,159,114,55,148,203,118,129,76,12,11,25,51,190,45,0,231
259,8756,122,82401,410,49,171,93,243,0,77,107,146,134,36,78,114,88,77,27,10,33,43,30,152,25,0,222
260,8757,134,87561,376,41,145,94,235,0,65,100,130,107,29,131,160,63,50,32,1,21,20,34,116,28,0,228
261,8758,34,22919,110,0,0,46,99,0,18,29,64,31,28,52,80,30,14,3,1,10,2,16,76,18,0,113
262,8759,134,67961,195,15,81,58,154,0,34,55,132,54,64,135,199,57,62,50,24,19,23,33,100,18,0,202
263,8760,62,52048,424,6,20,170,286,39,66,123,97,122,112,186,298,52,29,28,21,30,16,30,328,106,0,155
264,8761,101,61241,240,38,103,51,121,0,24,27,116,42,46,115,161,51,43,38,4,15,16,22,64,21,0,189
265,8762,118,77888,754,2,9,328,568,13,92,146,106,140,177,326,503,57,105,29,25,24,20,30,642,156,0,237
266,8763,157,98922,608,0,3,245,544,24,118,197,150,187,214,344,558,121,44,64,45,52,28,36,462,156,0,223
267,8764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,8765,6,2884,9,3,10,0,2,0,0,0,4,1,1,3,4,3,2,0,0,2,3,0,0,0,0,19
269,8766,169,95387,352,33,122,97,163,0,59,88,132,102,48,135,183,80,96,85,25,6,42,46,166,24,0,202
270,8767,160,84749,446,35,95,146,283,0,49,66,128,90,98,120,218,76,80,45,1,12,74,45,210,38,0,232
271,8768,191,91446,498,3,9,196,395,0,97,144,120,143,53,161,214,104,151,26,16,24,18,28,310,53,0,226
272,8769,2,3046,27,2,12,8,12,0,5,9,6,5,1,7,8,8,6,2,0,3,0,2,12,2,0,19
273,8784,115,64792,475,2,10,196,354,3,77,104,129,110,104,220,324,69,26,13,20,31,8,28,356,94,0,158
274,8834,36,37186,130,3,24,32,88,0,57,96,97,89,99,118,217,57,116,30,8,7,2,8,60,26,0,122
275,8835,113,75935,733,11,58,253,451,33,194,238,148,187,166,318,484,77,110,79,47,51,48,59,482,133,1,237
276,8836,148,101149,584,107,248,104,244,0,55,63,97,92,31,149,180,104,167,60,0,10,40,56,74,41,0,233
277,8837,161,97996,511,79,235,111,231,1,52,71,109,74,33,104,137,75,87,28,12,24,30,53,156,28,0,236
278,8838,141,84384,532,107,275,86,203,0,39,54,107,70,22,38,60,42,96,45,1,21,49,62,94,78,0,213
279,8839,117,67368,304,38,136,75,160,0,40,71,101,82,24,83,107,58,100,40,2,20,50,40,128,18,0,215
280,8840,15,8382,73,16,36,10,21,0,5,7,13,16,1,15,16,5,4,3,3,3,5,8,10,5,0,21
281,8841,72,39683,134,0,0,60,123,0,14,29,97,43,56,115,171,23,26,11,6,9,6,10,102,24,0,121
282,8842,150,83469,463,77,229,70,204,0,92,114,147,122,15,95,110,64,75,47,4,7,18,56,108,29,0,227
283,8843,147,76179,717,28,84,244,438,20,145,218,182,194,108,339,447,88,91,58,91,28,2,47,434,79,0,238
284,8844,122,83845,788,0,1,316,526,38,156,287,126,279,230,460,690,112,105,70,82,27,50,76,626,180,1,235
285,8845,115,66170,520,11,51,197,397,1,93,131,150,127,115,289,404,69,75,42,28,19,6,32,260,74,0,173
286,9026,110,65644,423,4,15,165,295,36,81,122,151,110,91,177,268,48,19,36,40,16,10,34,260,84,0,180
287,9027,0,875,4,0,0,1,3,0,2,2,0,1,0,3,3,0,0,0,0,1,0,0,2,0,0,6
288,9028,167,106550,1148,87,272,334,661,4,219,281,107,309,67,227,294,128,252,90,7,20,100,130,554,73,0,251
289,9029,101,52669,221,47,135,33,83,0,14,18,72,29,22,68,90,16,32,9,5,2,18,18,62,18,0,185
290,9030,9,6952,37,6,22,6,12,0,7,9,17,9,1,9,10,4,13,1,2,1,4,4,8,12,0,37
291,9031,128,84810,571,81,252,145,284,1,38,65,139,87,82,165,247,45,63,50,20,18,35,44,216,59,0,231
292,9032,116,69553,345,18,57,99,205,0,93,148,111,137,43,132,175,61,75,39,9,19,36,51,186,17,0,212
293,9033,172,104943,601,26,84,197,409,0,129,167,108,175,169,375,544,66,68,49,56,42,24,49,322,119,0,259
294,9034,112,61277,367,78,199,51,128,0,31,33,62,41,17,65,82,25,26,14,3,2,23,45,48,33,1,223
295,9035,44,24491,95,0,0,42,85,12,11,27,58,25,48,63,111,7,12,4,26,7,4,4,74,30,0,96
296,9036,0,1164,2,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
297,9037,185,112080,838,103,254,204,433,2,121,157,86,147,24,170,194,88,164,92,7,24,52,78,268,44,0,250
298,9038,76,34860,455,26,66,128,211,23,121,145,55,111,46,111,157,37,35,18,8,10,14,23,226,81,0,97
299,9039,114,64250,134,27,89,18,67,0,17,21,106,50,12,69,81,19,47,32,5,5,0,3,10,8,0,202
300,9040,142,87284,1198,31,101,403,683,12,299,384,126,323,162,316,478,100,92,43,28,40,48,84,726,191,0,196
301,9041,147,88159,1153,71,177,369,800,64,202,286,156,218,105,395,500,110,53,29,100,39,42,85,540,118,0,202
302,9042,82,43788,264,0,2,117,236,11,30,45,74,65,99,135,234,37,26,48,20,24,18,34,224,60,0,142
303,9043,93,56916,679,99,327,153,280,27,76,109,69,124,31,207,238,63,52,30,46,15,62,62,254,82,0,133
304,9044,181,97475,780,143,380,142,304,0,67,86,135,81,18,114,132,66,85,59,11,26,109,119,212,36,0,230
305,9045,76,49067,258,41,119,51,126,0,33,40,71,50,9,73,82,38,34,30,1,11,12,40,62,13,0,127
306,9053,92,53375,259,15,59,89,196,0,36,51,91,59,23,91,114,41,59,37,17,18,28,34,126,10,0,151
307,9054,47,29891,77,2,14,33,84,0,5,10,61,15,29,61,90,15,9,11,8,5,0,2,34,10,0,85
308,9055,170,109849,814,104,298,171,409,0,160,182,90,189,33,115,148,135,250,51,2,26,48,66,218,69,0,229
309,9056,166,87075,614,1,6,240,395,81,131,206,165,209,162,307,469,112,104,62,87,26,28,43,446,76,0,224
310,9057,113,88108,1027,131,419,233,446,47,168,225,111,225,63,352,415,124,128,56,22,22,93,103,396,97,1,221
311,9058,167,79609,599,0,2,222,413,54,155,236,130,223,119,232,351,96,55,34,32,31,4,30,442,92,0,234
312,9059,63,33913,362,48,141,83,160,2,52,78,61,70,33,115,148,51,54,47,6,23,27,41,156,29,0,68
313,9060,27,20052,61,2,18,21,64,0,13,17,49,15,8,13,21,19,28,10,0,5,5,3,34,6,0,98
314,9061,34,31086,145,0,2,61,131,0,23,50,68,47,46,84,130,28,18,16,13,8,4,10,112,28,0,114
315,9062,152,83732,898,21,73,315,617,67,205,287,145,234,92,291,383,148,77,54,54,23,27,52,554,85,0,233
316,9063,169,102495,913,117,332,238,510,15,86,109,133,98,182,527,709,106,95,52,115,17,12,66,324,161,0,248
317,9064,146,74609,364,54,169,84,182,0,34,58,109,90,15,90,105,72,101,29,12,8,40,27,128,22,0,204
318,9065,0,1917,5,1,1,1,7,0,0,0,4,0,2,2,4,1,2,0,0,0,0,0,0,2,0,13
319,9066,65,33255,206,4,13,80,152,16,34,63,57,62,53,159,212,39,32,30,23,6,10,26,130,39,0,72
320,9067,92,57837,581,33,128,176,451,25,130,179,123,148,95,224,319,119,35,59,21,41,54,62,270,97,0,146
321,9068,133,77705,227,0,0,94,212,0,39,60,141,96,92,142,234,42,38,44,7,10,18,10,122,30,0,214
322,9069,130,83013,731,53,171,225,496,3,122,163,159,170,158,335,493,115,136,57,48,37,34,59,388,129,0,244
323,9070,112,56940,278,0,0,129,250,1,20,49,145,57,69,111,180,30,15,29,19,18,36,34,192,54,0,189
324,9071,149,74966,718,39,99,205,458,1,191,254,116,235,104,354,458,77,93,27,48,36,14,29,280,85,0,157
325,9074,34,33156,167,29,94,34,73,0,12,17,60,30,37,36,73,34,55,38,1,6,22,33,52,10,0,128
326,9075,3,6766,23,3,18,4,9,0,6,6,20,5,5,5,10,2,1,2,0,0,2,2,2,2,0,61
327,9076,140,73350,755,19,64,299,545,34,100,144,145,168,129,271,400,89,52,36,44,30,38,81,522,110,0,206
328,9080,62,35294,363,38,129,104,219,3,41,68,61,90,43,112,155,56,54,17,25,9,8,29,142,37,0,89
329,9081,11,4890,48,2,8,17,25,3,8,11,8,10,6,21,27,5,2,4,5,1,0,6,32,6,0,16
330,9082,151,73821,632,116,280,113,228,4,58,72,110,64,43,218,261,61,72,39,14,12,6,59,146,76,0,233
331,9083,188,96561,1094,26,79,431,817,13,154,209,107,234,232,525,757,87,136,33,16,31,6,50,636,204,0,235
332,9084,39,22208,243,14,40,79,133,9,43,54,39,53,32,74,106,34,12,9,1,17,20,27,150,20,0,53
333,9085,42,30419,201,0,1,85,172,5,31,88,100,83,59,88,147,44,28,2,9,16,6,10,162,34,0,131
334,9086,6,7433,19,1,12,8,19,0,0,2,24,2,3,9,12,7,1,5,1,1,4,4,6,2,0,68
335,9087,120,69032,726,93,256,172,325,1,103,132,138,135,108,340,448,79,88,29,22,16,6,85,252,99,0,201
336,9088,128,70512,763,31,93,249,445,17,172,244,110,245,70,195,265,98,170,53,21,24,126,97,444,77,0,160
337,9089,164,95519,801,55,147,253,476,17,130,172,160,170,154,397,551,59,73,47,81,31,24,72,426,121,0,248
338,9090,26,15874,165,0,1,63,113,15,39,52,23,43,42,58,100,16,7,7,20,6,4,6,122,30,0,43
339,9239,29,15718,64,11,50,11,33,0,9,10,25,24,2,32,34,10,24,6,0,3,0,7,20,8,0,65
340,9328,61,44091,168,0,0,77,192,0,14,26,104,38,68,85,153,24,18,20,13,23,4,12,108,26,0,136
341,9329,55,35365,129,5,24,45,87,0,24,37,67,37,55,102,157,18,31,27,5,6,10,19,80,28,0,135
342,9330,21,14762,82,6,24,20,68,0,24,27,38,28,3,7,10,23,17,9,2,2,8,16,28,4,0,107
343,9331,136,78710,816,38,138,251,504,13,200,270,124,220,50,241,291,81,176,75,19,26,75,102,444,45,0,163
344,9332,162,78369,717,3,13,269,527,57,170,303,156,279,175,389,564,157,64,77,104,37,56,81,500,100,0,236
345,9333,47,37178,337,8,19,126,248,8,61,86,81,83,61,137,198,41,17,16,51,7,6,29,230,50,0,136
346,9334,126,66855,571,8,26,227,327,36,93,153,88,128,122,256,378,58,85,24,42,20,72,76,446,103,0,178
347,9336,31,19546,83,8,40,17,47,0,25,34,41,49,8,20,28,13,22,12,2,4,2,5,12,8,0,89
348,9337,161,88698,417,60,227,99,275,0,39,49,96,62,43,135,178,51,55,34,5,28,26,49,110,47,0,227
349,9339,46,33718,118,17,85,25,84,0,17,24,28,29,12,43,55,47,47,6,0,14,4,16,40,10,0,131
350,9340,170,103790,1149,59,191,360,738,14,252,352,147,308,180,366,546,127,191,105,43,44,88,110,622,157,0,228
351,9341,120,68533,459,80,272,82,173,1,55,74,84,74,24,93,117,52,29,46,3,10,44,77,112,33,0,201
352,9342,102,63793,372,0,2,162,332,37,48,111,149,96,165,256,421,78,38,33,77,31,6,22,288,118,0,200
353,9343,75,48159,232,55,173,22,52,0,23,32,61,31,20,33,53,16,17,17,0,6,24,26,32,17,0,176
354,9344,178,107067,501,34,106,154,343,0,91,138,145,191,94,174,268,117,161,92,4,37,80,76,252,42,0,233
355,9345,91,47099,380,0,2,161,317,18,58,115,121,122,103,157,260,80,29,31,45,25,20,24,302,80,0,150
356,9346,109,59784,318,18,56,114,243,0,36,58,85,70,40,78,118,57,39,20,11,12,24,22,140,30,0,140
357,9347,108,67717,668,0,3,250,447,1,168,244,151,224,100,185,285,99,47,19,32,33,44,74,432,98,0,128
358,9348,216,121506,734,100,289,137,288,0,160,197,180,250,73,196,269,172,304,129,13,21,64,94,202,42,0,236
359,9349,149,85563,409,81,251,65,136,0,36,49,119,64,46,100,146,73,135,85,15,6,43,68,94,47,0,172
360,9350,129,79237,358,77,224,50,136,0,27,39,91,73,31,96,127,52,73,31,8,4,38,38,48,29,0,170
361,9351,29,17230,131,31,97,13,44,0,12,20,46,21,5,18,23,18,10,12,3,3,18,19,14,0,0,63
362,9352,171,94707,328,21,67,120,257,0,25,40,89,52,91,149,240,59,91,40,17,5,42,39,126,54,0,208
363,9353,19,19004,124,19,61,24,47,0,19,24,27,22,11,28,39,11,15,6,5,2,3,8,22,12,0,57
364,9354,140,83363,881,47,132,305,567,27,130,168,138,158,81,331,412,113,92,38,55,18,31,54,400,69,0,219
365,9355,102,60397,603,11,34,227,403,33,116,192,150,237,84,238,322,89,70,28,12,25,28,40,418,56,0,188
366,9356,93,46572,478,30,107,156,361,5,76,141,93,124,52,147,199,69,55,46,33,20,52,40,262,43,0,148
367,9358,51,31628,154,29,93,24,64,0,19,35,46,29,15,39,54,12,11,16,2,8,8,10,40,10,0,127
368,9359,78,42051,302,40,116,80,171,7,22,53,70,67,51,126,177,49,37,26,19,9,8,17,130,38,0,100
369,9360,144,75831,675,0,3,273,460,17,129,206,183,181,137,291,428,89,59,99,41,23,40,66,542,110,0,215
370,9365,0,904,0,0,0,0,2,0,0,0,5,1,0,2,2,6,1,1,0,0,0,0,0,0,0,9
371,9369,207,90877,673,1,3,263,535,29,144,221,172,188,159,365,524,125,40,35,65,48,4,22,450,133,0,236
372,9370,31,22636,219,16,49,76,144,4,19,27,25,34,33,82,115,29,21,11,7,10,22,26,148,31,0,52
373,9372,133,62301,569,1,6,241,475,0,84,147,144,137,126,344,470,67,61,22,25,18,6,28,392,134,0,178
374,9373,5,3059,19,0,0,8,17,0,3,4,5,6,4,10,14,5,3,1,0,1,2,0,16,6,0,12
375,9374,86,55599,473,1,3,194,379,37,82,150,123,125,132,248,380,86,34,37,28,21,18,36,336,86,0,179
376,9375,62,34520,321,23,71,93,160,9,66,87,91,83,57,156,213,60,31,17,14,5,20,22,152,39,0,86
377,9376,50,29361,253,14,60,90,185,0,31,39,52,46,49,96,145,32,40,16,5,7,8,10,124,45,0,82
378,9377,130,87556,940,46,144,323,661,17,156,264,145,285,165,392,557,156,75,27,36,42,40,40,550,146,1,209
379,9378,107,52345,396,3,16,156,337,6,75,120,109,153,72,172,244,74,43,18,20,17,0,19,240,36,0,129
380,9379,131,78532,994,27,103,361,681,81,191,298,102,280,119,484,603,149,77,33,63,34,50,51,632,122,0,202
381,9380,17,13262,37,4,16,5,15,0,15,22,20,24,6,19,25,22,19,6,1,2,4,2,8,3,0,63
382,9381,79,42351,335,0,0,134,283,40,67,113,95,104,97,167,264,48,14,8,60,14,6,20,252,84,0,149
383,9382,158,92776,948,119,317,205,402,1,181,232,115,235,101,323,424,73,49,59,18,29,45,72,350,99,0,212
384,9383,130,76220,779,1,4,299,551,52,178,246,112,241,84,303,387,84,88,20,48,11,16,52,456,87,0,183
385,9384,151,86016,724,50,174,225,478,18,124,169,111,158,109,311,420,130,179,44,60,20,6,36,316,102,0,236
386,9385,41,30746,310,36,119,61,131,5,80,103,54,90,34,124,158,51,29,14,25,11,27,21,104,30,0,87
387,9386,0,448,4,0,0,1,4,0,2,4,0,3,0,0,0,6,1,0,0,0,0,0,0,2,0,6
388,9387,155,83694,673,1,4,274,547,24,122,202,152,184,139,374,513,105,49,29,37,35,28,56,454,110,0,204
389,9388,116,76255,729,41,139,234,486,12,138,219,116,166,133,318,451,92,93,43,35,29,46,73,358,125,1,164
390,9389,98,53700,379,24,90,122,210,5,63,96,110,72,97,131,228,54,55,17,49,21,22,22,236,86,0,135
391,9390,27,22274,72,4,24,24,72,0,12,21,60,25,11,29,40,40,38,6,1,7,8,8,30,6,0,91
392,9391,42,24735,224,9,30,75,182,1,47,62,54,60,49,91,140,20,10,13,3,6,4,12,102,42,0,66
393,9392,203,107104,839,0,4,348,662,63,143,193,169,143,164,350,514,98,99,70,102,35,46,78,596,122,0,248
394,9393,15,10330,53,4,17,19,50,5,3,4,17,7,14,24,38,11,6,1,3,7,4,2,30,4,0,31
395,9394,105,54622,577,27,120,211,402,1,74,135,109,137,82,203,285,95,79,57,36,30,92,70,390,70,0,162
396,9395,35,24035,103,0,8,40,109,0,23,46,22,46,19,23,42,22,14,15,4,13,6,10,56,10,0,133
397,9396,248,123325,317,44,189,74,240,0,37,59,142,104,41,146,187,164,282,68,4,16,20,23,98,31,0,248
398,9397,0,17110,47,2,6,15,50,0,11,17,27,20,5,19,24,21,33,11,1,8,4,6,18,0,0,155
399,9398,214,118297,990,89,266,266,534,10,191,260,181,222,134,365,499,115,107,72,51,28,30,79,422,96,0,264
400,9399,31,31337,151,2,4,63,135,0,19,25,63,41,14,28,42,40,40,24,1,9,22,22,66,6,0,168
401,9400,154,99632,503,1,12,211,408,1,78,213,140,228,174,306,480,91,79,27,20,36,16,34,408,84,0,209
402,9401,5,20137,93,21,89,12,27,0,6,8,23,13,4,20,24,16,14,15,0,3,11,17,18,10,0,130
403,9402,160,68352,388,41,144,98,229,0,69,105,126,108,45,125,170,66,45,38,22,23,34,47,162,44,0,233
404,9403,157,88624,828,2,3,348,612,56,126,168,133,135,126,281,407,109,69,36,43,22,14,57,506,100,0,221
405,9404,112,77663,812,6,21,308,581,27,178,279,128,226,185,338,523,145,37,13,14,40,38,36,596,162,0,208
406,9405,43,26787,196,26,76,46,105,0,26,30,48,25,10,18,28,35,11,8,3,8,2,18,72,14,0,114
407,9406,51,40154,110,9,33,35,96,0,13,18,47,31,35,57,92,35,39,17,0,11,30,27,58,2,0,186
408,9407,12,8063,32,4,20,7,20,0,6,8,13,7,5,22,27,9,7,0,1,0,0,0,10,2,0,31
409,9408,32,83833,695,95,253,164,435,0,82,98,82,93,48,153,201,100,39,35,7,34,27,39,176,91,0,248
410,9409,184,74926,288,47,166,56,138,0,35,48,141,62,68,117,185,69,52,57,6,13,26,20,86,18,0,243
411,9410,143,51267,262,2,8,109,240,0,38,56,114,77,42,68,110,38,21,15,6,12,20,22,116,28,0,216
412,9411,156,86639,807,0,3,293,570,28,221,328,177,326,196,348,544,137,89,52,117,21,32,50,500,132,0,235
413,9412,29,13292,68,5,15,17,32,0,19,23,30,20,2,19,21,21,18,7,2,0,0,7,8,2,0,62
414,9413,15,13078,61,7,22,15,34,0,10,20,47,25,9,23,32,30,24,7,1,2,4,4,24,2,0,74
415,9414,11,5168,37,1,1,15,26,2,4,4,15,8,12,17,29,3,6,2,2,2,0,0,22,15,0,19
416,9418,144,77021,697,36,130,232,505,8,125,250,148,222,125,287,412,102,89,44,41,40,37,61,416,80,0,195
417,9420,134,89777,1005,62,207,312,566,19,195,275,119,224,155,451,606,103,81,42,50,35,19,58,586,165,0,221
418,9423,41,24499,97,11,38,27,52,0,10,15,86,40,23,46,69,15,17,10,6,2,2,14,30,6,0,83
419,9426,93,61806,405,57,181,88,199,0,58,79,136,91,90,203,293,60,91,24,21,9,18,25,92,61,0,195
420,9430,128,79498,597,38,148,210,505,3,63,127,125,143,86,236,322,84,74,66,17,35,34,45,316,103,0,169
421,9431,126,68648,595,17,62,216,426,30,112,166,141,178,153,305,458,113,59,24,46,32,26,42,384,102,0,220
422,9432,152,84471,628,7,41,240,477,66,127,221,117,220,124,343,467,96,30,23,126,21,12,24,390,104,0,208
423,9451,38,27354,141,2,5,57,103,1,21,48,30,36,44,93,137,37,37,15,6,13,2,14,114,34,0,67
424,9452,140,86767,709,7,23,282,578,24,124,179,153,160,158,424,582,132,47,26,51,37,38,48,446,155,0,207
425,9454,86,44013,224,9,18,83,191,0,31,43,63,35,37,54,91,33,23,13,2,10,24,14,90,30,0,119
426,9455,14,8376,84,6,26,29,56,7,8,16,15,23,12,24,36,8,1,3,2,5,8,4,50,18,0,28
427,9456,107,72107,390,0,2,164,338,2,62,112,142,103,164,357,521,107,118,55,40,24,6,26,292,98,0,213
428,9457,7,8033,28,3,6,8,28,0,3,6,17,8,3,11,14,15,8,5,0,6,4,4,16,2,0,37
429,9459,6,5338,11,2,14,0,5,0,5,6,8,7,3,8,11,8,6,5,0,1,0,0,0,0,0,24
430,9460,120,72062,519,0,2,219,359,72,81,125,146,104,177,312,489,62,65,20,91,7,8,26,410,180,0,205
431,9461,14,10131,78,4,33,27,57,8,12,22,31,16,18,35,53,11,9,12,7,3,4,13,54,10,0,32
432,9462,27,12973,83,0,0,35,66,0,13,29,34,26,26,54,80,14,2,6,8,9,2,4,60,16,0,52
433,9463,34,28012,24,0,1,7,11,0,10,15,83,40,14,52,66,8,43,10,4,1,0,2,6,2,0,83
434,9464,3,1877,6,2,6,0,5,0,0,0,2,2,0,2,2,4,0,0,0,2,0,0,0,0,0,18
435,9487,96,63182,485,25,125,168,340,27,74,117,125,102,52,211,263,99,100,53,80,12,62,76,306,45,0,161
436,9488,91,56760,485,16,63,168,324,15,101,131,109,120,93,176,269,70,54,39,17,25,40,55,266,72,0,152
437,9489,117,69453,457,26,97,161,398,0,57,81,65,100,30,132,162,105,198,48,4,15,34,50,170,25,0,184
438,9490,86,51488,686,45,117,190,350,12,171,202,89,165,61,193,254,85,68,37,16,20,36,59,296,67,0,157
439,9492,24,6460,20,0,9,8,32,1,4,7,20,9,5,12,17,7,6,6,1,3,0,0,12,4,0,29
440,9494,78,59183,657,52,165,208,436,10,85,115,97,103,87,229,316,83,62,29,14,29,30,52,304,75,0,143
441,9495,110,63451,770,30,89,266,486,22,148,213,82,183,86,304,390,92,72,23,49,40,52,62,480,104,0,162
442,9498,79,50882,435,0,2,180,300,41,75,214,100,163,133,222,355,47,31,34,55,16,24,44,354,118,0,187
443,10255,114,66583,735,66,202,189,384,6,159,210,95,179,71,314,385,60,36,31,25,47,55,65,278,67,0,151
444,10256,93,51410,555,75,211,109,256,0,112,149,84,170,49,151,200,69,134,71,15,28,63,78,194,55,0,99
445,10257,0,160,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
446,10258,12,7237,29,0,0,13,27,0,3,7,15,5,9,10,19,2,4,2,3,0,4,4,20,8,0,40
447,10262,0,472,5,0,0,2,7,0,1,4,1,2,1,1,2,1,0,0,0,0,0,0,4,0,0,6
448,10263,1,624,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6
449,10264,2,4539,39,0,1,16,27,1,7,12,12,7,10,17,27,10,2,1,1,0,0,2,28,12,0,15
450,10265,83,44957,483,0,0,201,381,23,81,140,100,141,100,194,294,74,16,10,40,20,12,36,370,102,0,121
451,10266,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
452,10297,0,630,3,0,1,1,3,0,1,2,4,1,0,0,0,1,0,1,0,1,0,0,2,0,0,7
453,10299,15,17484,92,24,83,6,14,0,8,14,25,12,9,12,21,10,14,7,2,1,11,12,10,13,0,58
454,10810,15,7292,93,4,9,29,62,0,23,31,18,21,7,26,33,16,7,7,1,4,4,9,44,2,0,20
455,10815,25,15342,74,16,67,9,16,0,8,10,18,9,4,24,28,3,17,6,0,2,7,9,14,8,0,52
456,10817,94,52985,469,45,131,144,254,29,46,61,85,56,42,198,240,48,46,21,23,12,21,31,250,57,0,127
457,10818,1,1694,4,0,7,2,5,0,0,0,4,3,2,3,5,1,0,0,0,0,2,2,4,0,0,14
458,10819,103,61983,541,1,7,202,455,28,134,172,69,138,95,206,301,59,46,29,29,12,18,42,304,69,0,139
459,10820,1,1617,7,1,9,2,4,0,0,0,4,1,0,3,3,1,0,0,0,0,0,0,0,4,0,8
460,10821,0,466,3,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
461,10822,3,4793,35,6,10,6,19,0,5,5,5,5,2,7,9,5,2,0,1,1,0,3,4,0,0,21
462,10823,64,37474,297,9,44,106,230,9,58,75,108,76,53,127,180,65,54,13,7,10,20,26,180,48,0,110
463,10824,96,60442,246,29,90,64,145,0,31,41,48,59,24,65,89,53,91,16,3,12,8,20,94,23,0,122
464,10831,72,46502,570,45,109,146,279,0,143,175,78,153,24,145,169,76,87,38,10,20,30,49,220,28,0,119
465,10832,20,11968,71,9,29,15,35,0,14,16,13,17,2,10,12,18,22,8,1,3,0,7,22,3,0,51
466,10833,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
467,10834,82,53707,657,24,81,203,413,2,179,220,54,209,71,215,286,79,93,36,11,20,28,47,320,64,0,122
468,10835,78,38637,397,24,79,127,271,14,71,104,84,96,53,207,260,72,59,19,44,20,10,19,240,43,0,111
469,10836,4,6565,40,9,34,5,9,0,3,7,15,6,3,6,9,2,3,2,0,0,2,5,8,6,0,50
470,10838,69,43152,278,56,160,35,91,0,40,56,60,50,14,57,71,22,32,20,3,9,14,32,46,26,0,116
471,10839,61,39484,328,0,1,125,232,6,78,101,59,83,89,164,253,42,37,4,25,13,0,10,208,74,0,113
