チームID,選手ID,背番号,選手名,ポジション,出身地,出身校,国籍,生年月日,身長,体重,在籍フラグ,No.
706,9036,22,田村　大輔,SG,大阪府,大阪体育大学,日本,19810122,182,83,1,14
706,9037,24,田中　大貴,SG,長崎県,東海大学,日本,19910903,192,93,1,14
706,9038,33,トロイ・ギレンウォーター,PF,アメリカ,ニューメキシコ州立大学,アメリカ合衆国,19881229,205,104,0,14
706,9039,35,伊藤　大司,PG,三重県,ポートランド大学,日本,19861222,184,78,1,14
695,9040,54,ダバンテ・ガードナー,C,アメリカ　ヴァージニア州,マーケット大学,アメリカ合衆国,19910902,203,132,1,14
695,9041,13,クリント・チャップマン,PF,アメリカ オレゴン州,テキサス大学,アメリカ合衆国,19890306,208,111,1,14
695,9042,44,スティーブン・バン・トリース,C,アメリカ インディアナ州,ルイビル大学,アメリカ合衆国,19900926,206,111,1,14
717,9043,25,ロドニー・カーニー,SF,アメリカ合衆国,メンフィス大学,アメリカ合衆国,19840405,201,93,1,14
717,9044,22,福澤 晃平,PG,長野県,関西大学,日本,19930402,177,75,1,14
717,9045,20,河相 智志,SG,広島県,広島県立戸手高等学校,日本,19820329,182,76,1,14
720,9053,3,呉屋　貴教,SG,沖縄県,日本大学,日本,19830826,190,83,1,14
696,9054,42,嶋田　基志,PF,愛知県,東海大学,日本,19870507,197,100,1,14
704,9055,2,富樫　勇樹,PG,新潟県,モントロス・クリスチャン高校,日本,19930730,167,65,1,14
704,9056,16,ヒルトン・アームストロング,C,アメリカ,コネチカット大学,アメリカ合衆国,19841123,211,107,1,14
704,9057,33,タイラー・ストーン,PF,アメリカ,サウスイーストミズーリ大学,アメリカ合衆国,19910908,203,104,1,14
693,9058,13,スコット・モリソン,C,カナダ,ポートランド州立大学,カナダ,19860103,211,112,1,14
693,9059,15,ケビン・パルマー,SF/PF,アメリカ,テキサスA&M大学,アメリカ合衆国,19870621,198,95,0,14
693,9060,18,藤江　建典,SF,福岡県,白鴎大学,日本,19870505,184,86,1,14
715,9061,23,劉 瑾,C,中国,天理大学,中国,19900419,202,95,1,14
700,9062,32,エグゼビア・ギブソン,C,アメリカ合衆国,フロリダ州立大学,アメリカ合衆国,19881103,210,120,1,14
700,9063,55,ジョシュ・ハレルソン,PF/C,アメリカ合衆国,ケンタッキー大学,アメリカ合衆国,19890212,208,125,1,14
715,9064,1,増子　匠,SF,埼玉県,神奈川大学,日本,19910109,186,84,1,14
715,9065,6,小久保　眞,PF,長崎県,長崎私立瓊浦高校,日本,19821118,192,83,1,14
715,9066,9,ザッカリー・アンドリュース,PF,アメリカ合衆国カリフォルニア州,ブラッドリー大学,アメリカ合衆国,19850309,203,102,0,14
716,9067,35,エグゼビア・フォード,SF/PF,アメリカ合衆国コロラド州,ニューヨーク州立大学バッファロー校,アメリカ合衆国,19930120,201,95,1,14
718,9068,0,谷口　淳,PF,大阪府,同志社大学,日本,19920731,192,86,1,14
718,9069,15,ラリー・オーウェンス,SF/PF,アリゾナ州,ヤバパイカレッジ/オーラルロバーツ大学,アメリカ合衆国,19830108,201,98,1,14
718,9070,27,石塚 裕也,PF,大阪府,立命館大学,日本,19920605,187,78,1,14
718,9071,44,ウィル・クリークモア,PF/C,オクラホマ州,ミズーリ州立大学,アメリカ合衆国,19890409,205,109,0,14
719,9074,3,樋口　真斗,SG,福岡県,九州産業大学,日本,19920721,177,75,1,14
719,9075,8,菊池　広明,SG,大阪府,天理大学,日本,19921214,185,80,1,14
719,9076,32,アンディ・オガデ,PF,アメリカ合衆国,ミシシッピ大学,アメリカ合衆国,19871001,204,102,1,14
719,9080,41,ジョン・フラワーズ,SF,アメリカ合衆国,ウエストバージニア大学,アメリカ合衆国,19890613,200,98,0,14
726,9081,2,カディーム・ジャック,PF/C,アメリカ合衆国,ラトガース大学,アメリカ合衆国,19921027,206,108,0,14
726,9082,34,アールティー・グイン,PF/C,アメリカ合衆国,ベイラー大学,アメリカ合衆国,19810210,208,120,1,14
712,9083,7,リック・リカート,C,アメリカ合衆国,ミネソタ大学,アメリカ合衆国,19830211,211,107,1,14
712,9084,14,ローガン・スタッツ,PF,アメリカ合衆国,ウォッシュバーン大学,アメリカ合衆国,19880527,206,100,0,14
712,9085,33,ジャーフロー・ラーカイ,PF/C,イギリス,ベラマイン大学,イギリス,19811212,203,110,0,14
723,9086,8,加藤　悠三,SG,岐阜県,中京高校,日本,19920924,173,73,1,14
723,9087,41,クレイグ・ウィリアムス・ジュニア,C,アメリカ合衆国,Taxi Christian Univ,アメリカ合衆国,19890928,206,130,1,14
721,9088,12,ダニエル・ディロン,PG/SG,オーストラリア,アリゾナ大学,オーストラリア,19860319,193,91,1,14
721,9089,21,コナー・ ラマート,SF/PF,アメリカ,テキサス大学,アメリカ合衆国,19940831,206,107,1,14
721,9090,55,キャメロン・リドリー,PF/C,アメリカ,テキサス大学,アメリカ合衆国,19931027,206,129,1,14
710,9239,24,仲西 淳,PG,東京都,サンタモニカ短期大学,日本,19820707,180,75,1,14
701,9328,10,波多野 和也,PF/C,ブラジル,専修大学,日本,19820419,192,95,1,14
701,9329,16,渡辺 竜之佑,PG/SG,沖縄県,専修大学 在学中,日本,19940824,187,80,1,14
711,9330,4,猪狩　渉,PG,福島県,IMGアカデミー,日本,19960424,168,72,1,14
711,9331,0,セドリック・ボーズマン,SF,アメリカ,カリフォルニア大学ロサンゼルス校,アメリカ合衆国,19830307,198,98,1,14
711,9332,11,ナイジェル・スパイクス,PF/C,アメリカ,マーシャル大学,アメリカ合衆国,19891018,208,104,1,14
711,9333,22,ドノバン・ルイス・カーク,PF/C,アメリカ,マイアミ大学,アメリカ合衆国,19910722,206,104,0,14
727,9334,12,ライアン・スパングラー,PF,アメリカ,オクラホマ大学,アメリカ合衆国,19911003,203,106,1,14
722,9336,0,大澤　歩,PG,静岡県,専修大,日本,19910414,177,75,1,14
722,9337,5,溝口　秀人,SG,福岡県,愛知学泉大,日本,19870909,187,82,1,14
722,9339,9,坂井　耀平,PG,東京都,アップルスポーツカレッジ,日本,19910520,167,64,1,14
722,9340,11,チェハーレス・タプスコット,SF,米国オレゴン州,ポートランド州立大,アメリカ合衆国,19900712,195,95,1,14
722,9341,13,近　忍,SF,新潟県,日本大,日本,19870201,190,80,1,14
722,9342,14,エイドリアン・フォーブス,PF/C,ジャマイカ,アーバン大,ジャマイカ,19880525,208,109,1,14
722,9343,18,前村　哲也,SG/SF,広島県,広陵高,日本,19941218,178,75,1,14
722,9344,19,徳永　林太郎,PG,福岡県,福岡西陵高,日本,19861229,177,72,1,14
722,9345,32,ニカ・ウィリアムズ,C,セントビンセント及びグレナディーン諸島,パシフィック大,セントビンセント及びグレナディーン諸島,19870709,203,107,1,14
722,9346,41,高田　秀一,SF/PF,東京都,日本体育大,日本,19831013,195,91,1,14
724,9347,1,中西　良太,PF/C,兵庫県,日本体育大学,日本,19881224,200,95,1,14
724,9348,2,古野　拓巳,PG,福岡県,日本経済大学,日本,19930220,178,76,1,14
724,9349,9,神原　裕司,PG/SG,長崎県,関西外国語大学,日本,19891025,183,80,1,14
724,9350,7,小林　慎太郎,SG,熊本県,東海大学,日本,19850629,185,85,1,14
724,9351,12,高濱　拓矢,SG,熊本県,東海大学九州,日本,19900525,184,80,1,14
724,9352,11,福田　真生,SF,北海道,青山学院大学,日本,19890726,193,89,1,14
724,9353,88,高村　成寿,PF/C,栃木県,浜松大学,日本,19840806,194,96,1,14
697,9354,2,ロバート・ドジャー,PF,アメリカ,メンフィス大学,アメリカ合衆国,19851126,206,102,1,14
697,9355,5,オルー・アシャオル,PF,ナイジェリア,オレゴン大学,ナイジェリア,19880418,200,102,1,14
700,9356,25,リチャード・ロビー,SF,アメリカ合衆国,コロラド大学,アメリカ合衆国,19850928,198,96,1,14
722,9358,8,堀田　大暉,SG,高知県,HA バスケットボールカレッジ,日本,19930917,180,70,1,14
699,9359,24,ローレンス・ヒル,PF,アメリカ合衆国,スタンフォード大学,アメリカ合衆国,19870916,203,107,0,14
699,9360,5,マーカス・ダブ,PF,アメリカ合衆国,オクラホマ州立大学,アメリカ合衆国,19850617,206,102,1,14
714,9365,51,田口　暖,PG,北海道,海星学院高等学校,日本,19970201,171,63,1,14
692,9369,15,チリジ・ネパウエ,C,南アフリカ共和国,ニューメキシコ州立大学,南アフリカ,19890610,208,122,1,14
692,9370,21,ディオン・ライト,PF,アメリカ合衆国,セント・ボナベンチャー大学,アメリカ合衆国,19930218,201,100,0,14
710,9372,10,マーカリ・サンダース・フリソン,PF,アメリカ合衆国,カリフォルニア大学バークレー校,アメリカ合衆国,19880615,203,126,1,14
710,9373,35,マット・ロペス,C,アメリカ合衆国,ライダー大学,アメリカ合衆国,19920325,213,116,0,14
716,9374,3,テレンス・シャノン,F/C,アメリカ,バージニアコモンウェルス大学,アメリカ合衆国,19900904,203,109,0,14
716,9375,15,ウィリアム・カーター,F/C,アメリカ,サンノゼ州立大学,アメリカ合衆国,19880123,203,106,0,14
716,9376,54,ジャマール・ボイキン,F/C,アメリカ,デューク大学,アメリカ合衆国,19870427,203,106,0,14
708,9377,2,アラン・ウィギンス,PF/C,アメリカ・カリフォルニア州,サンフランシスコ大学,アメリカ合衆国,19850719,206,102,1,14
708,9378,7,ブランドン・セビルンビ,PF/C,アメリカ・テキサス州,ファーマン大学,アメリカ合衆国,19900515,205,105,1,14
708,9379,33,カイル・バローン,PF/C,アメリカ・カリフォルニア州,アイダホ大学,アメリカ合衆国,19890912,208,106,1,14
708,9380,1,井上　大志,PG,大阪府,関西学院大学,日本,19921224,175,74,1,14
702,9381,13,ジョーダン・バチンスキー,C,カナダ,アリゾナ州立大学,カナダ,19890906,218,118,1,14
729,9382,33,ジェロウム・ティルマン,PF/C,アメリカ合衆国,オハイオ大学,アメリカ合衆国,19870425,198,108,1,14
729,9383,24,ジャスティン・バーレル,PF/C,アメリカ合衆国,セント・ジョーンズ大学,アメリカ合衆国,19880418,204,111,1,14
701,9384,34,ラモント・ハミルトン,PF/C,米国,セント・ジョーンズ大学,アメリカ合衆国,19840406,208,116,1,14
701,9385,22,モー・チャーロ,SF,米国,ネバダ大学,アメリカ合衆国,19820722,201,100,0,14
724,9386,14,奈良　篤人,G,大分県,日本経済大学,日本,19921011,173,74,0,14
724,9387,20,ジョエル・ジェームス,F/C,アメリカ,N.Carolina,アメリカ合衆国,19940122,208,127,1,14
724,9388,22,レジナルド・ウォーレン,F/C,アメリカ,West Florida,アメリカ合衆国,19810208,204,104,1,14
724,9389,43,ポール・ビュートラック,F/C,アメリカ,EW University,アメリカ合衆国,19831125,208,95,1,14
724,9390,56,松永　建作,G,大阪府,関西外国語大学,日本,19891003,183,80,1,14
696,9391,14,アール・バロン,C,ミシシッピ州,メンフィス大学,アメリカ合衆国,19810814,211,109,0,14
702,9392,5,ダニエル・ミラー,C,アメリカ合衆国,Georgia　Tech,アメリカ合衆国,19910701,211,117,1,14
702,9393,10,ブライアン・フィッツパトリック,PF,アメリカ合衆国,Bucknell University,アメリカ合衆国,19891106,203,105,0,14
725,9394,2,タイメル・マーフィー,SF,パナマ,フロリダインターナショナル大,パナマ,19901230,196,95,1,14
725,9395,1,山下　颯,PF,大阪府,大阪産業大,日本,19920401,193,81,1,14
725,9396,3,鮫島　和人,PG,鹿児島県,日本経済大学,日本,19921107,171,71,1,14
725,9397,7,頭山　竜之介,PG,沖縄県,中部学院大,日本,19931121,162,64,1,14
694,9398,4,ジェフリー・パーマー,SF/PF,アメリカ/ニューヨーク州,フロリダ・アトランティック大学,アメリカ合衆国,19850427,203,105,1,14
725,9399,9,山田　安斗夢,SG,鹿児島県,鹿児島商業高,日本,19980221,179,75,1,14
694,9400,10,ファイ パプ月瑠,PF/C,セネガル,関東学院大学,日本,19870622,200,100,1,14
725,9401,10,林　亮太,PG,大阪府,大阪学院大,日本,19850202,178,71,1,14
725,9402,12,藤田　浩司,SF,大分県,九州共立大,日本,19921023,190,78,1,14
694,9403,42,ジェイソン・ウォッシュバーン,C,アメリカ/オハイオ州,ユタ大学,アメリカ合衆国,19900605,208,114,1,14
726,9404,22,チャド・ポスチュマス,C,カナダ,モアヘッド州立大,カナダ,19910212,211,122,0,14
728,9405,9,森川　正明,SF,福井県,愛知学泉大学,日本,19920307,190,86,1,14
725,9406,24,玉田　博人,SG,鹿児島県,日本経済大学,日本,19930526,179,77,1,14
728,9407,34,高橋　マイケル,SF,福島県,カリフォルニア州立大ノースリッジ校,日本,19740905,198,100,1,14
725,9408,39,中園　隆一郎,PF,福岡県,福岡大,日本,19780203,190,85,1,14
725,9409,41,松崎　圭介,SF,長崎県,九州国際大学,日本,19921018,181,77,1,14
725,9410,51,安慶　大樹,PF,鹿児島県,福岡大,日本,19920618,191,85,1,14
713,9411,31,アブドゥーラ・クウソー,PF/C,ナイジェリア,ゴンザガ,ナイジェリア,19840217,206,111,1,14
713,9412,14,花野　文昭,PG,新潟県,桜丘高校,日本,19950123,172,70,1,14
713,9413,9,矢代　雪次郎,PG,千葉県,ベサニーカレッジ,日本,19920215,177,77,1,14
713,9414,21,ケネス・シムス,PF,アメリカ合衆国,カンバーランド,アメリカ合衆国,19860804,206,109,0,14
714,9418,3,ルーク・エヴァンス,PF/C,アメリカ合衆国,カリフォルニアバプティスト大学,アメリカ合衆国,19910316,203,100,1,14
714,9420,13,ライアン・ステファン,C,アメリカ合衆国,コロラドメサ大学,アメリカ合衆国,19940422,208,113,1,14
696,9423,13,比留木　謙司,PF,東京都,サンディエゴ・シティ・カレッジ,日本,19850719,196,94,1,14
719,9426,7,ルーベン・ボイキン,PF,アメリカ合衆国,ノーザンアリゾナ大学,日本,19850620,201,104,1,14
710,9430,15,セス・ターバー,SF,アメリカ合衆国,オレゴン州立大学,アメリカ合衆国,19880701,196,99,1,14
723,9431,22,ジョシュア・クロフォード,C,アメリカ合衆国,,アメリカ合衆国,19880511,211,110,1,14
725,9432,14,チュクゥディエベレ・マドゥアバム,PF/C,ナイジェリア,イェシーバー大,ナイジェリア,19910319,206,110,1,14
717,9451,17,ラマー・サンダース,PF,アメリカ合衆国,ラマー大学,アメリカ合衆国,19840711,200,114,0,14
709,9452,7,ニカエス・ドークス,PF/C,アメリカ,テネシー大学,アメリカ合衆国,19870118,201,107,1,14
723,9454,23,泉 秀岳,SF,埼玉県,順天堂大学,日本,19911127,190,87,0,14
723,9455,3,レミ・バリー,SF/PF,フランス,NewMexicoStateUniver,フランス,19910827,202,100,0,14
710,9456,2,ゲイリー・ハミルトン,C,アメリカ合衆国,マイアミ大学,アメリカ合衆国,19840807,208,130,1,14
722,9457,23,モーガン・ヒカル・エイケン,SG,アメリカ合衆国,セントホ?ール・クリスチャン・スクール,日本,19940715,175,72,1,14
708,9459,21,橋本 龍弥,PG,青森県八戸市,青森県立八戸工業高等学校,日本,19970510,178,74,1,14
718,9460,14,ジョーダン・ヴァンデンバーグ,C,オーストラリア,ノースカロライナ州立大学,オーストラリア,19900325,216,120,1,14
696,9461,41,エンジェル・ガルシア,PF/C,プエルトリコ,メンフィス大学,アメリカ合衆国,19880711,209,111,0,14
713,9462,33,デイビダス・ブスマ,C,リトアニア,,リトアニア,19870330,212,0,1,14
712,9463,43,岡村　憲司,PF,京都府,日本大学,日本,19730502,190,88,1,14
702,9464,42,貝沼　雄介,SG,千葉県,大東文化大学,日本,19920902,179,76,1,14
723,9487,21,ローレンス・ブラックレッジ,PF,アメリカ合衆国,Marquette University,アメリカ合衆国,19851124,206,85,1,14
702,9488,22,ジャマール・ソープ,PF,アメリカ合衆国,ヒューストン大学,アメリカ合衆国,19840902,198,100,1,14
698,9489,7,並里　成,PG,沖縄県,,日本,19890807,172,72,1,14
701,9490,7,レイショーン・テリー,SF/PF,米国・ノースカロライナ州出身,ノースカロライナ大,アメリカ合衆国,19840407,202,110,1,14
709,9492,22,アダム・ドレクスラー,F,アメリカ　オレゴン州,ヒューストン大学,アメリカ合衆国,19931016,196,92,1,14
692,9494,41,ウェンデル・ホワイト,PF,アメリカ合衆国,ネバダ大学ラスベガス校,アメリカ合衆国,19840903,198,100,1,14
697,9495,7,ジョシュ・チルドレス,SF,アメリカ,スタンフォード大学,アメリカ合衆国,19830620,203,97,1,14
721,9498,0,アジーズ・エンダイ,C,セネガル,ワシントン大学,セネガル,19880516,213,120,1,14
715,10255,5,ディオン・ジョーンズ,SF/PF,アメリカ合衆国デラウェア州,モンマス大学,アメリカ合衆国,19930124,198,95,1,14
718,10256,4,ドゥレイロン・バーンズ,SG/SF,アメリカ／ウィスコンシン州,ディポール大学,アメリカ合衆国,19850411,194,95,1,14
718,10257,1,内藤　健太,SG,大阪府,大阪体育大学（在学中）,日本,19950725,185,76,0,14
718,10258,47,土屋　アリスター時生,C,イギリス,大阪教育大学（在学中）,日本,19951231,197,85,1,14
699,10262,45,頓宮 裕人,PF/C,滋賀県,東海大学,日本,19940119,198,95,1,14
700,10263,35,澤邉　圭太,SG,熊本県,大阪学院大学（在学中）,日本,19950305,184,84,1,14
725,10264,43,サイラス・テイト,PF/C,アメリカ合衆国,,日本,19850923,200,110,0,14
696,10265,45,デクスター・ピットマン,C,テキサス州,テキサス大学,アメリカ合衆国,19880302,211,128,1,14
725,10266,11,大町 イサ男,SF,長崎県,長崎海星高校,日本,19960430,183,79,0,14
702,10297,33,田原　隆徳,SG,北海道,恵庭南高等学校-札幌大学在学,日本,19940425,181,80,1,14
708,10299,9,野里　惇貴,SG,青森県,八戸学院大学,日本,19941003,180,75,1,14
716,10810,23,ジョシュア・ドラード,F,アメリカ,アーバーン大学,アメリカ合衆国,19860902,203,107,0,14
729,10815,9,安藤 周人,SG,三重県,青山学院大学,日本,19940613,189,87,1,14
698,10817,33,クレイグ・ブラッキンズ,PF/C,アメリカ合衆国,アイオワ州立大学,アメリカ合衆国,19871009,208,117,1,14
698,10818,24,高橋　耕陽,SG/SF,北海道,日本大学,日本,19940616,191,80,1,14
726,10819,6,ロバート・サクレ,C,アメリカ合衆国,ゴンザガ大学,アメリカ合衆国,19890606,213,118,1,14
726,10820,17,杉浦　佑成,SF,東京都,筑波大学,日本,19950624,195,95,0,14
728,10821,2,中村　太地,,,,日本,0,0,0,1,14
703,10822,46,生原 秀将,PG,徳島県,筑波大学,日本,19940524,181,80,1,14
693,10823,30,イバン・ラベネル,PF/C,アメリカ,オハイオ州立大学,アメリカ合衆国,19891124,203,113,1,14
708,10824,0,會田　圭佑,PG,茨城県,明治大学,日本,19950329,182,78,1,14
719,10831,30,テレンス・ウッドベリー,SF,アメリカ合衆国,ジョージア大学,アメリカ合衆国,19870616,201,101,1,14
709,10832,3,澁田　怜音,PG,岩手県,盛岡南高校,日本,19980822,175,64,0,14
709,10833,40,永田　渉,PF,岩手県,盛岡南高校,日本,19990120,194,77,0,14
712,10834,10,アンドリュー・ランダル,SF/PF,アメリカ合衆国,テンプル大学,アメリカ合衆国,19900105,198,112,1,14
716,10835,9,ジェロエン・バンダーリスト,PF/C,オランダ,インディアンヒルズコミュニティーカレッジ,オランダ,19891209,213,109,1,14
723,10836,17,安部　瑞基,SG,香川県,大阪教育大学,日本,19930729,176,77,1,14
722,10838,15,坂東 拓,SG,香川県,筑波大学,日本,19920523,183,80,1,14
713,10839,55,マーカス・カズン,PF/C,アメリカ合衆国,ヒューストン,アメリカ合衆国,19861218,211,112,1,14
716,10842,10,三ツ井 利也,SF/PF,長野県,東海大学,日本,19940602,190,95,1,14
714,10843,35,ジャスティン・ヘラルド,PF/C,アメリカ合衆国,ソノマ州立大学,アメリカ合衆国,19910111,201,108,1,14
694,10844,21,満田 丈太郎,SG,神奈川県,筑波大学,日本,19940418,188,83,1,14
717,10845,39,成田 正弘,PG,愛知県,拓殖大学4年（在学中）,日本,19940413,174,72,1,14
693,10848,17,中山 拓哉,PG/SG,神奈川県,東海大学,日本,19940724,182,82,1,14
702,10850,1,関野　剛平,SG/SF,北海道,東海大学,日本,19940801,183,80,1,14
695,10851,18,森井 健太,PG,石川県,早稲田大学※在学中,日本,19950922,178,77,0,14
711,10852,23,水野 幹太,PG,福島県,福島県立福島南高等学校,日本,19980604,183,72,0,14
712,10872,12,大友　隆太郎,SG/SF,茨城県,筑波大学,日本,19940404,188,90,1,14
696,10873,81,小原 翼,PF,神奈川県,筑波大学,日本,19940727,198,97,1,14
698,10874,9,佐野　太一,PG,滋賀県,日本大学,日本,19931129,177,75,1,14
692,10875,44,グレッグ・マンガーノ,PF,アメリカ合衆国,イェール大学,アメリカ合衆国,19891028,208,109,1,14
703,10877,31,門馬 圭二郎,SG/SF,北海道,日本大学,日本,19941115,185,86,1,14
693,10878,24,保岡　龍斗,SG/SF,埼玉県,江戸川大学,日本,19950427,188,87,1,14
702,10880,17,川邉　亮平,SF,富山県,白鴎大学,日本,19950312,188,85,1,14
713,10881,5,仁平　拓海,SF/PF,北海道,日本大学,日本,19940620,191,83,1,14
725,10882,6,ビクラムジット・ギル,SF/PF,カナダ,ボールステイト大学卒,カナダ,19920518,200,101,1,14
724,10883,6,柿内　輝心,G,熊本県,中央大学,日本,19951021,172,72,0,14
723,10884,75,赤土　裕典,PF,岐阜県,日本体育大学,日本,19940430,192,99,1,14
706,10886,23,ジェフ・エアーズ,PF,アメリカ合衆国,アリゾナ州立大学,アメリカ合衆国,19870429,209,113,1,14
706,10887,44,トレント・プレイステッド,C,アメリカ合衆国,ブリンガムヤング大学,アメリカ合衆国,19861020,211,111,1,14
717,10890,0,野﨑 零也,SG,佐賀県,白?大学３年（在学中）,日本,19950908,183,84,1,14
713,10891,41,小倉　渓,SF/PF,群馬県,白鴎大学,日本,19940804,190,90,1,14
713,10892,26,中野 広大,SG,神奈川県,法政大学,日本,19940508,182,81,1,14
718,10893,26,松本　健児リオン,PG/SG,神奈川県,名古屋経済大学（在学中）,日本,19940510,183,78,1,14
715,10894,14,柏倉　哲平,PG,山形県,青山学院大学,日本,19950120,180,79,1,14
695,10895,22,田口　凜,SG,北海道,アップルスポーツカレッジ※在学中,日本,19940919,180,69,1,14
694,10896,6,岩田　涼太,SG/SF,神奈川県,東海大学,日本,19920619,185,82,1,14
693,10897,22,レオ・ライオンズ,SF/PF,アメリカ合衆国,ミズーリ大学,アメリカ合衆国,19870524,206,115,1,14
692,10898,21,谷里　京哉,SF,北海道,東海大学九州,日本,19940814,188,74,1,14
